date,title,content,emotion,emotion_probs,tags,lucid
2025-08-25,Childhood,i had a dream where i was reliving a childhood memory of climbing mango trees and plucking mangoes and eating them with my friends,happy,"{'happy': np.float64(0.9513423734901262), 'neutral': np.float64(0.032884007721628056), 'nightmare': np.float64(0.008172654403605048), 'sad': np.float64(0.007600964384640783)}",,False
2025-08-25,chased by demons,i had a dream where someone broke into my home and chased me and my family. the person later changed into a demon who was chasing to kill us.,nightmare,"{'happy': np.float64(0.04048132614603631), 'neutral': np.float64(0.06040732231642215), 'nightmare': np.float64(0.8800256156951299), 'sad': np.float64(0.019085735842411466)}",,False
2025-08-13,confined spaces,i had a dream where i was trapped in a confined room with no doors or windows and there were scorpions crawling all over coming to attack me.,neutral,"{'happy': np.float64(0.09397811650797375), 'neutral': np.float64(0.8787178843706587), 'nightmare': np.float64(0.008910067173744832), 'sad': np.float64(0.018393931947622944)}",,False
2025-08-07,survival, i was travelling in a ship and the ship overturned due to a big storm. i was the sole survivor. i was stranded in a strange island with no signs of human life and giant creatures hunting me.,neutral,"{'happy': np.float64(0.13016494256844457), 'neutral': np.float64(0.8397195024610239), 'nightmare': np.float64(0.010122449267559282), 'sad': np.float64(0.019993105702972157)}",,False
2025-08-07,survival, i was travelling in a ship and the ship overturned due to a big storm. i was the sole survivor. i was stranded in a strange island with no signs of human life and giant creatures hunting me. it was very lonely and scary,neutral,"{'happy': np.float64(0.14576433917649323), 'neutral': np.float64(0.8209573803871406), 'nightmare': np.float64(0.011257408381868561), 'sad': np.float64(0.022020872054497688)}",,False
2025-08-07,survival, i was travelling in a ship and the ship overturned due to a big storm. i was the sole survivor. i was stranded in a strange island with no signs of human life and giant creatures hunting me. it was very lonely and scary,neutral,"{'happy': np.float64(0.14576433917649323), 'neutral': np.float64(0.8209573803871406), 'nightmare': np.float64(0.011257408381868561), 'sad': np.float64(0.022020872054497688)}","lonely, alone, sad",False
2025-08-07,survival, i was travelling in a ship and the ship overturned due to a big storm. i was the sole survivor. i was stranded in a strange island with no signs of human life and giant creatures hunting me. it was very lonely and scary. i cried the whole time,neutral,"{'happy': np.float64(0.14497013392095912), 'neutral': np.float64(0.8209867132553444), 'nightmare': np.float64(0.011538028984948476), 'sad': np.float64(0.022505123838748)}","lonely, alone, sad",False
2025-08-07,survival, i was travelling in a scary ship and the ship overturned due to a big storm. i was the sole survivor. i was stranded in a strange island with no signs of human life and giant creatures hunting me. it was very lonely and scary. i cried the whole time,neutral,"{'happy': np.float64(0.1598086722449784), 'neutral': np.float64(0.8036249807138265), 'nightmare': np.float64(0.012465097995400739), 'sad': np.float64(0.02410124904579422)}","lonely, alone, sad",False
2025-08-07,survival, i was stranded in a strange island with no signs of human life and giant creatures hunting me. it was very lonely and scary. i cried the whole time,neutral,"{'happy': np.float64(0.08925086606963431), 'neutral': np.float64(0.8682052919704445), 'nightmare': np.float64(0.012635600684077401), 'sad': np.float64(0.029908241275843826)}","lonely, alone, sad",False
2025-08-07,survival, i was stranded in a strange island with no signs of human life and giant creatures hunting me. it was very lonely and scary. i cried the whole time,neutral,"{'happy': np.float64(0.08925086606963431), 'neutral': np.float64(0.8682052919704445), 'nightmare': np.float64(0.012635600684077401), 'sad': np.float64(0.029908241275843826)}","lonely, alone, sad",False
